what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266421467700
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421526794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421609446
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421647984
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1266421650625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421650806
error,log,,,"An internal error occurred during: ""Launching APIDemos"".",1266421650840
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421651047
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421658121
error,log,,,"Error validating /home/jhanhart/.android/devices.xml",1266421660151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421660201
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421662821
opened,view,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.views.LogCatView",1266421671336
opened,view,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.views.DeviceView",1266421671421
opened,view,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1266421671662
opened,view,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.views.ThreadView",1266421672321
activated,perspective,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.Perspective",1266421672377
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1266421672401
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1266421672401
activated,view,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms.views.DeviceView",1266421674186
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421693049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421733180
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421741792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266421745503
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266421754050
